Vardas         Pavarde         ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	Egz.
Vardas1        Pavarde1        4	7	5	1	4	3	3	4	7	2	
Vardas2        Pavarde2        9	4	8	1	3	5	1	3	3	1	
Vardas3        Pavarde3        5	1	8	3	4	5	3	3	6	1	
Vardas4        Pavarde4        7	5	3	7	8	7	4	2	10	10	
Vardas5        Pavarde5        1	6	10	5	1	1	10	8	5	2	
Vardas6        Pavarde6        9	7	3	7	8	8	2	5	3	7	
Vardas7        Pavarde7        6	10	8	10	9	3	8	3	4	1	
Vardas8        Pavarde8        3	4	2	4	10	4	9	8	8	6	
Vardas9        Pavarde9        9	6	8	10	6	7	3	5	6	10	
Vardas10       Pavarde10       10	9	8	7	2	6	7	7	9	6	
Vardas11       Pavarde11       2	9	9	9	10	4	3	1	5	8	
Vardas12       Pavarde12       10	10	10	2	6	7	3	4	5	4	
Vardas13       Pavarde13       1	2	5	10	6	3	3	8	10	5	
Vardas14       Pavarde14       2	1	6	6	9	2	4	6	1	9	
Vardas15       Pavarde15       1	2	2	9	4	2	10	4	2	4	
Vardas16       Pavarde16       2	1	1	2	2	5	7	10	5	2	
Vardas17       Pavarde17       6	8	3	6	1	9	8	3	8	10	
Vardas18       Pavarde18       9	5	10	2	5	6	3	5	6	1	
Vardas19       Pavarde19       5	2	6	3	5	5	1	3	2	8	
Vardas20       Pavarde20       4	4	9	7	5	3	1	9	4	4	
Vardas21       Pavarde21       7	6	7	10	8	4	8	6	10	4	
Vardas22       Pavarde22       6	6	9	7	10	2	10	9	3	9	
Vardas23       Pavarde23       7	1	1	5	2	5	2	5	10	4	
Vardas24       Pavarde24       4	3	2	2	1	7	8	9	7	8	
Vardas25       Pavarde25       10	10	10	10	3	9	4	8	3	7	
Vardas26       Pavarde26       4	7	6	2	6	10	8	1	7	3	
Vardas27       Pavarde27       3	10	10	4	1	2	3	9	1	9	
Vardas28       Pavarde28       10	1	6	3	8	9	2	4	5	9	
Vardas29       Pavarde29       2	4	1	9	2	8	5	6	6	7	
Vardas30       Pavarde30       6	1	6	5	10	4	3	6	10	1	
Vardas31       Pavarde31       10	5	7	6	5	5	1	4	5	8	
Vardas32       Pavarde32       6	2	10	5	6	9	8	7	1	2	
Vardas33       Pavarde33       6	10	1	10	8	1	3	6	5	8	
Vardas34       Pavarde34       4	6	10	3	6	4	2	6	7	5	
Vardas35       Pavarde35       4	7	2	5	8	4	8	6	4	6	
Vardas36       Pavarde36       3	10	4	10	6	8	1	6	8	6	
Vardas37       Pavarde37       5	5	9	5	5	4	8	5	2	4	
Vardas38       Pavarde38       6	4	9	5	4	3	1	3	2	5	
Vardas39       Pavarde39       3	3	6	8	8	4	8	3	8	2	
Vardas40       Pavarde40       9	6	10	8	9	8	5	2	9	7	
Vardas41       Pavarde41       5	1	9	5	8	1	1	6	4	2	
Vardas42       Pavarde42       1	4	2	10	9	2	7	7	9	4	
Vardas43       Pavarde43       2	7	2	7	8	6	2	5	4	5	
Vardas44       Pavarde44       10	3	6	4	3	5	10	7	3	10	
Vardas45       Pavarde45       8	3	7	8	1	2	8	7	5	9	
Vardas46       Pavarde46       4	4	3	2	8	3	9	9	4	4	
Vardas47       Pavarde47       3	8	9	4	3	9	5	5	6	2	
Vardas48       Pavarde48       10	4	1	10	3	3	2	4	7	3	
